id,country,genres_list,Community,Degree_norm,PageRank_norm,Closeness_norm,Betweenness_norm
Paul Weitz,"France, United Kingdom, United States","Action & Adventure, Comedies, Dramas, Horror Movies, International Movies, Sci-Fi & Fantasy",2,0.12195121951219512,0.1008802275664506,0.7376119172584131,0.013914172940223011
Scott Hicks,"Australia, United States","Comedies, Documentaries, International Movies, Music & Musicals, Romantic Movies",0,0.0975609756097561,0.08096917102542801,0.6937481311671486,0.012869922033297105
Joe Berlinger,United States,"Crime TV Shows, Documentaries, Docuseries, Dramas, Independent Movies, TV Shows",5,0.12195121951219512,0.11937949865353001,0.6728363261701503,0.02513536304354058
Kim Nguyen,"Canada, France, Italy, United States","Documentaries, Dramas, Independent Movies, International Movies, Romantic Movies",5,0.0975609756097561,0.08038442132782439,0.7153291139240509,0.012192455863673074
Guillermo del Toro,"Canada, Spain, United States","Action & Adventure, Cult Movies, Dramas, Horror Movies, International Movies, Romantic Movies, Sci-Fi & Fantasy",2,0.14634146341463414,0.1239792551655149,0.7376119172584131,0.041932155059836294
Jane Campion,"Australia, France, United Kingdom, United States","Classic Movies, Dramas, Independent Movies, Romantic Movies, Thrillers",5,0.0975609756097561,0.07845998011659168,0.595294742677631,0.008784705634495297
Hiroyuki Seshita,Japan,"Action & Adventure, Anime Features, International Movies, TV Shows",1,0.07317073170731707,0.07167928389109672,0.559823592782117,0.01223345550021242
Action & Adventure,,"Ashutosh Gowariker, Ben Wheatley, Bong Joon Ho, Clint Eastwood, Guillermo del Toro, Hiroyuki Seshita, Jeremy Saulnier, Kobun Shizuno, McG, Navaniat Singh, Paul Weitz, Peter Chelsom, Priyadarshan, Quentin Tarantino, Robert Altman, Rohit Jugraj, Ron Howard, Tensai Okamura, Terry Gilliam, Tsutomu Mizushima, Youssef Chahine",2,0.4878048780487805,0.46406390361940336,0.637759732505374,0.15900323170913586
Lygia Barbosa da Silva,Brazil,"Documentaries, International Movies, LGBTQ Movies",0,0.04878048780487805,0.054185871747207,0.5182178775793307,0.009862493431779942
Sion Sono,Japan,"Crime TV Shows, Dramas, International Movies, International TV Shows, TV Dramas, Thrillers",4,0.12195121951219512,0.11427818901648468,0.8090311587147031,0.06509502357722959
McG,"France, Italy, United Kingdom, United States","Action & Adventure, Comedies, Horror Movies, Independent Movies, Sci-Fi & Fantasy",2,0.0975609756097561,0.08066839552007865,0.6426567894131187,0.005547355621551327
Rohit Jugraj,"Australia, Canada","Action & Adventure, Comedies, Dramas, International Movies, Music & Musicals, Sports Movies",0,0.12195121951219512,0.10169060907425492,0.7044529837251357,0.01598948585256286
TV Action & Adventure,,"Noam Murro, Thomas Astruc",3,0.024390243902439025,0.08012132180840867,0.3862683236504944,0.09655366064672398
Stand-Up Comedy & Talk Shows,,"Jung-ah Im, Seung-uk Jo",4,0.024390243902439025,0.06363347425823031,0.12180315164040308,0.0
Crime TV Shows,,"Anurag Kashyap, Cosima Spender, Jalil Lespert, Joe Berlinger, Justin Webster, Mateo Gil, Sion Sono, Vikramaditya Motwane",4,0.17073170731707318,0.17037174025990934,0.5062862046771079,0.026606637980314544
Anurag Kashyap,United States,"Comedies, Crime TV Shows, Dramas, Horror Movies, International Movies, International TV Shows, Romantic Movies, TV Dramas, Thrillers",4,0.1951219512195122,0.17895467034406337,0.8743925180831827,0.12417398345870173
Brian De Palma,"France, Italy, United Kingdom, United States","Classic Movies, Cult Movies, Horror Movies, International Movies, Thrillers",2,0.0975609756097561,0.08283615750928636,0.6138185654008439,0.024218349238193937
Philippe Aractingi,"France, United Kingdom","Documentaries, Dramas, Independent Movies, International Movies, Music & Musicals",5,0.0975609756097561,0.08105786569902344,0.7376119172584131,0.010831894489522995
Terry Gilliam,"Canada, France, United Kingdom, United States","Action & Adventure, Classic Movies, Comedies, Cult Movies, Dramas, Sci-Fi & Fantasy",2,0.12195121951219512,0.1015690273313396,0.652563049570007,0.02171601328421375
Anime Features,,"Hiroyuki Seshita, Kobun Shizuno, Masaaki Yuasa, Tensai Okamura, Tsutomu Mizushima",1,0.0975609756097561,0.11026989061690427,0.41222051342718563,0.009976631658982646
Justin Webster,"Spain, United States","Crime TV Shows, Documentaries, Docuseries, International Movies, International TV Shows",4,0.0975609756097561,0.0981831890842482,0.6728363261701503,0.0284932809099652
Mike Newell,"France, United Kingdom, United States","Classic Movies, Comedies, Dramas, International Movies, Romantic Movies, Thrillers",5,0.12195121951219512,0.09919640272385767,0.7263806655777869,0.019919320312826803
Alastair Fothergill,"Canada, Spain, United Kingdom, United States","British TV Shows, Documentaries, Docuseries, International TV Shows",4,0.07317073170731707,0.09208446785240103,0.4430075462512173,0.017339187983900366
Thrillers,,"Anurag Kashyap, Ben Wheatley, Brian De Palma, Clint Eastwood, David Pastor, Eli Roth, Jalil Lespert, Jane Campion, Jeremy Saulnier, Martin Scorsese, Mike Newell, Peter Chelsom, Priyadarshan, Quentin Tarantino, Ron Howard, Sion Sono, Yorgos Lanthimos, Àlex Pastor",5,0.4146341463414634,0.39115566843724986,0.6575731121780883,0.1370467709822018
