Actor,Community_Louvain
Mukesh Tiwari,0
Tom Hardy,6
José Coronado,7
Adina Porter,5
Deepak Dobriyal,0
Rob Lowe,5
Stephen Campbell Moore,5
T.J. Miller,2
Omari Hardwick,5
Sonali Kulkarni,0
Toshiyuki Toyonaga,1
Helen Hunt,5
Rani Mukerji,0
Will Sasso,2
Scarlett Johansson,5
Amrita Rao,0
Shreyas Talpade,0
Ángela Molina,7
Bradley Whitford,5
Brie Larson,5
Thomas Mann,5
Allen Covert,5
Blanca Suárez,7
John Turturro,5
Soichiro Hoshi,1
Lily Tomlin,5
Bayoumi Fouad,-1
Burt Reynolds,5
Vinnie Jones,5
Jeremy Piven,5
Michelle Rodriguez,5
Michelle Ruff,1
John Cusack,5
Nelsan Ellis,5
Kalki Koechlin,0
Emma Thompson,5
Kimberly Williams-Paisley,4
Zakir Hussain,0
Peter Vack,5
Karen Strassman,1
Steve Carell,5
Bruce Dern,5
Kouki Uchiyama,1
Tania Dutel,5
Jason Brokerss,5
Al Pacino,5
Ben Diskin,1
Channing Tatum,5
Charlie Murphy,6
Asami Seto,1
Robin Wright,5
Dwayne Johnson,5
Jamie Foxx,5
Mark Wahlberg,5
Jay Baruchel,2
Ben Affleck,5
Jimmi Simpson,6
Harland Williams,4
Johnathon Schaech,5
Derek Jacobi,6
Arturo Castro,7
Nick Nolte,5
Retta,5
Denis O'Hare,5
Ed Helms,5
Iko Uwais,4
Michael Palin,6
Michael Dobson,4
Yul Vazquez,5
Chris D'Elia,5
Timothy Olyphant,2
Chie Nakamura,1
Akira Ishida,1
Adesua Etomi,3
Wanda Sykes,5
Nasir 'Nas' Jones,5
Graham Greene,5
Arjun Rampal,0
Rajendranath Zutshi,0
Theo James,6
Tuppence Middleton,5
Michael Gambon,6
Michael Rapaport,5
Charlie Sheen,5
Chris Cooper,5
Bella Thorne,5
Nozomu Sasaki,1
Kate Mara,5
Takuya Sato,1
Robert Forster,5
Mira Sorvino,5
Aaron Eckhart,5
Michelle Buteau,5
Riaad Moosa,5
Hannah Gadsby,5
Reza Rahadian,-1
Joross Gamboa,-1
Lily Rabe,5
Chloe Pirrie,6
Russell Brand,5
Chris Lowell,5
Purab Kohli,0
Lindsay Duncan,6
John Slattery,5
Logan Marshall-Green,5
Aishwarya Rai Bachchan,0
Patrick Stewart,4
Kerry Shale,6
Queen Latifah,5
Stellan Skarsgård,2
Famke Janssen,5
Chafurin,1
Reese Witherspoon,5
Joe Don Baker,5
Eric Bana,5
Misaki Kuno,1
John Boyega,6
Rachel McAdams,5
Toni Collette,6
Ron Livingston,5
Karra Elejalde,7
Frances Conroy,5
Govind Namdeo,0
John Doman,5
Ajay Naidu,5
David Bradley,4
Jai Courtney,5
Alistair McGowan,6
Vikram Gokhale,0
Shraddha Kapoor,0
Sanjay Kapoor,0
Donal Logue,5
Chris Chalk,5
Bridget Hoffman,4
William Fichtner,5
Henry Thomas,5
Kemi Lala Akindoju,3
Ethan Hawke,5
Cliff Curtis,5
Motoko Kumai,1
Natalie Portman,5
Emraan Hashmi,0
Kangana Ranaut,0
Olga Kurylenko,5
Femi Adebayo,3
Juan Pablo Urrego,-1
James Arnold Taylor,4
Peter Facinelli,5
Kehinde Bankole,3
Makrand Deshpande,0
Katherine Heigl,5
Lam Suet,4
Junko Minagawa,1
Molly Parker,5
Alessandro Juliani,4
Jason Ritter,4
Neena Gupta,0
Gary Anthony Williams,4
Jeffrey Wright,5
Javed Jaffrey,0
Malin Akerman,5
Sunita Mani,5
Asante Blackk,5
Eréndira Ibarra,7
Tamsin Greig,6
Adam Driver,5
Eva Mendes,5
Masaki Terasoma,1
Hirofumi Nojima,1
Jeffrey Tambor,5
Nse Ikpe-Etim,3
Samy Maghawry,-1
Falz,3
Ernesto Alterio,7
Charlie Tahan,5
Yuuichirou Umehara,1
Elle Fanning,5
Jesse Eisenberg,5
Clive Owen,6
Brad Pitt,5
Wilmer Valderrama,4
Dale Dickey,5
Sofía Vergara,5
Mare Winningham,5
Adriana Barraza,5
Stephen Fry,6
Harriet Walter,6
Jackie Sandler,5
Francesc Orella,7
Zac Efron,5
Danny Denzongpa,0
Karisma Kapoor,0
Kate del Castillo,7
Bellamy Young,4
David Denman,4
Owen Teague,6
Letitia Wright,6
Malachi Kirby,6
Richard E. Grant,6
Juan Pablo Shuk,7
Elise Neal,2
Luis Ernesto Franco,7
Michael Keaton,5
Jonathan Banks,4
Gerald McRaney,4
Beverly Naya,3
Molly Ringwald,5
