Actor,Degree,DegreeCentrality,Betweenness,Closeness,PageRank,Degree_norm,Betweenness_norm,Closeness_norm,PageRank_norm
Amrish Puri,15,0.15151515151515152,0.002248504876442416,0.2409917355371901,0.010389444449688414,0.5769230769230769,0.007490682701301404,0.7890909090909091,0.3814279299930677
Chris Rock,5,0.05050505050505051,0.033002785012062955,0.24545454545454545,0.009685473039478889,0.19230769230769232,0.10994567695835741,0.8037037037037036,0.35099401046760875
Grey Griffin,4,0.04040404040404041,0.008773776218397,0.25887784090909094,0.004613587610702256,0.15384615384615385,0.029229010989836376,0.84765625,0.13172750227831467
Richard Mofe-Damijo,1,0.010101010101010102,0.0,0.01346801346801347,0.005891068680090219,0.038461538461538464,0.0,0.044098968653152465,0.1869552508732169
Sonal Kaushal,4,0.04040404040404041,0.0,0.04208754208754209,0.003841091368335361,0.15384615384615385,0.0,0.13780927704110146,0.09833113399836406
Pankaj Tripathi,6,0.06060606060606061,0.0002685586018919352,0.19782903663500678,0.004490395634074282,0.23076923076923078,0.000894677745445009,0.6477611940298507,0.12640169692812
Willem Dafoe,5,0.05050505050505051,0.1736298110296634,0.3026151930261519,0.007350621375752524,0.19230769230769232,0.5784313992540455,0.9908675799086757,0.25005427540566544
Sanjay Dutt,12,0.12121212121212122,0.0014969898627907304,0.23753665689149564,0.00747676990444264,0.46153846153846156,0.0049870810540433635,0.7777777777777778,0.255507897690223
Radhika Apte,3,0.030303030303030304,9.161913923818685e-05,0.1943481738203146,0.003661536038615616,0.11538461538461539,0.00030522055281706066,0.6363636363636364,0.09056864197694585
Takehito Koyasu,9,0.09090909090909091,1.7178588607160032e-05,0.17911547911547915,0.005406876601307919,0.34615384615384615,5.722885365319887e-05,0.5864864864864865,0.16602277755567227
Kathleen Barr,8,0.08080808080808081,2.9449009040845772e-05,0.21241258741258745,0.01042299652325988,0.3076923076923077,9.810660626262665e-05,0.6955128205128206,0.3828784450170831
Michael Peña,4,0.04040404040404041,0.004050207791704389,0.2084048027444254,0.00784214357689421,0.15384615384615385,0.0134928866554198,0.6823899371069182,0.27130364277709074
Toyin Abraham,1,0.010101010101010102,0.0,0.01346801346801347,0.010215557725715686,0.038461538461538464,0.0,0.044098968653152465,0.37391050174643387
Keith David,6,0.06060606060606061,0.14507870550358656,0.30540427314620866,0.006762825906774509,0.23076923076923078,0.48331607417385464,1.0,0.22464284570714693
Erin Mathews,8,0.08080808080808081,2.9449009040845772e-05,0.21241258741258745,0.012261740158414249,0.3076923076923077,9.810660626262665e-05,0.6955128205128206,0.462370559339712
Ben Kingsley,2,0.020202020202020204,0.018690056091841788,0.22090909090909094,0.003622024586528932,0.07692307692307693,0.06226416554409355,0.7233333333333334,0.0888604925610736
