Director,Degree,DegreeCentrality,Betweenness,Closeness,PageRank,Degree_norm,Betweenness_norm,Closeness_norm,PageRank_norm
Xu Zhang,9,0.09090909090909091,0.0,0.09090909090909091,0.01,0.3684210526315789,0.0,0.3684210526315789,0.10539629317783433
Alana Waksman,9,0.09090909090909091,0.0,0.09090909090909091,0.01,0.3684210526315789,0.0,0.3684210526315789,0.10539629317783433
Jon YonKondy,9,0.09090909090909091,0.0,0.09090909090909091,0.01,0.3684210526315789,0.0,0.3684210526315789,0.10539629317783433
Drue Metz,9,0.09090909090909091,0.0,0.09090909090909091,0.01,0.3684210526315789,0.0,0.3684210526315789,0.10539629317783433
Brandon Somerhalder,9,0.09090909090909091,0.0,0.09090909090909091,0.01,0.3684210526315789,0.0,0.3684210526315789,0.10539629317783433
Gaëtan Brizzi,9,0.09090909090909091,0.0,0.1349862258953168,0.009086128436463892,0.3684210526315789,0.0,0.5980861244019138,0.0
Paul Brizzi,9,0.09090909090909091,0.0,0.1349862258953168,0.009086128436463892,0.3684210526315789,0.0,0.5980861244019138,0.0
Joan C. Gratz,9,0.09090909090909091,0.0,0.1349862258953168,0.009086128436463892,0.3684210526315789,0.0,0.5980861244019138,0.0
Mohammed Saeed Harib,9,0.09090909090909091,0.0,0.1349862258953168,0.009086128436463892,0.3684210526315789,0.0,0.5980861244019138,0.0
Tomm Moore,9,0.09090909090909091,0.0,0.1349862258953168,0.009086128436463892,0.3684210526315789,0.0,0.5980861244019138,0.0
Nina Paley,9,0.09090909090909091,0.0,0.1349862258953168,0.009086128436463892,0.3684210526315789,0.0,0.5980861244019138,0.0
Bill Plympton,9,0.09090909090909091,0.0,0.1349862258953168,0.009086128436463892,0.3684210526315789,0.0,0.5980861244019138,0.0
Joann Sfar,9,0.09090909090909091,0.0,0.1349862258953168,0.009086128436463892,0.3684210526315789,0.0,0.5980861244019138,0.0
Michael Socha,9,0.09090909090909091,0.0,0.1349862258953168,0.009086128436463892,0.3684210526315789,0.0,0.5980861244019138,0.0
Bejoy Nambiar,8,0.08080808080808081,0.0,0.08080808080808081,0.01,0.3157894736842105,0.0,0.3157894736842105,0.10539629317783433
Karthik Narain,8,0.08080808080808081,0.0,0.08080808080808081,0.01,0.3157894736842105,0.0,0.3157894736842105,0.10539629317783433
Vasanth Sai,8,0.08080808080808081,0.0,0.08080808080808081,0.01,0.3157894736842105,0.0,0.3157894736842105,0.10539629317783433
Karthik Subbaraj,8,0.08080808080808081,0.0,0.08080808080808081,0.01,0.3157894736842105,0.0,0.3157894736842105,0.10539629317783433
Arvind Swamy,8,0.08080808080808081,0.0,0.08080808080808081,0.01,0.3157894736842105,0.0,0.3157894736842105,0.10539629317783433
Rathindran R Prasad,8,0.08080808080808081,0.0,0.08080808080808081,0.01,0.3157894736842105,0.0,0.3157894736842105,0.10539629317783433
Sarjun,8,0.08080808080808081,0.0,0.08080808080808081,0.01,0.3157894736842105,0.0,0.3157894736842105,0.10539629317783433
Anthony Scott Burns,2,0.020202020202020204,0.0,0.020202020202020204,0.01,0.0,0.0,0.0,0.10539629317783433
Nicholas McCarthy,2,0.020202020202020204,0.0,0.020202020202020204,0.01,0.0,0.0,0.0,0.10539629317783433
Adam Egypt Mortimer,2,0.020202020202020204,0.0,0.020202020202020204,0.01,0.0,0.0,0.0,0.10539629317783433
