Source,Target,Value
Hiroshi Kamiya,Satoshi Hino,3
Ai Kayano,Hiroshi Kamiya,2
Ai Kayano,Daisuke Ono,3
Ai Kayano,Satoshi Hino,3
Satoshi Hino,Yoshimasa Hosoya,2
Satoshi Hino,Yuki Kaji,2
Eri Kitamura,Satoshi Hino,1
Ai Kayano,Yuki Kaji,1
Ai Kayano,Eri Kitamura,1
Eri Kitamura,Yoshimasa Hosoya,1
Mamoru Miyano,Takahiro Sakurai,9
Hiroshi Kamiya,Takahiro Sakurai,1
Boman Irani,Shah Rukh Khan,5
Om Puri,Shah Rukh Khan,3
Kareena Kapoor,Om Puri,4
Boman Irani,Om Puri,2
Anupam Kher,Boman Irani,2
Boman Irani,Kay Kay Menon,1
Amitabh Bachchan,Om Puri,2
Junichi Suwabe,Yoko Hikasa,1
Junichi Suwabe,Saori Hayami,3
Mamoru Miyano,Saori Hayami,2
Kari Wahlgren,Kevin Michael Richardson,3
Jason Schwartzman,Joan Cusack,1
Kaito Ishikawa,Satoshi Hino,1
Kaito Ishikawa,Nobuhiko Okamoto,1
Hiroshi Kamiya,Kaito Ishikawa,1
Kaito Ishikawa,Yuichi Nakamura,1
Nobuhiko Okamoto,Satoshi Hino,1
Yoshimasa Hosoya,Yuichi Nakamura,1
Gugu Mbatha-Raw,Mark Hamill,1
Andy Samberg,Mark Hamill,1
Andy Samberg,Gugu Mbatha-Raw,1
Grey Griffin,Tara Strong,1
Kari Wahlgren,Tara Strong,2
Eri Kitamura,Miyuki Sawashiro,1
Ai Kayano,Saori Hayami,1
Rie Kugimiya,Tomokazu Sugita,1
Miyuki Sawashiro,Tomokazu Sugita,2
Satoshi Hino,Takahiro Sakurai,1
Junichi Suwabe,Katsuyuki Konishi,1
Bryce Dallas Howard,Gugu Mbatha-Raw,1
Bryce Dallas Howard,Jon Hamm,1
Gugu Mbatha-Raw,Jon Hamm,1
Nobuhiko Okamoto,Tomokazu Sugita,1
Andy Samberg,Maya Rudolph,2
Rob Riggle,Tony Hale,2
Jon Lovitz,Tony Hale,1
Jon Lovitz,Rob Riggle,1
Jason Schwartzman,Maya Rudolph,3
Jun Fukuyama,Sayaka Ohara,1
Sayaka Ohara,Takahiro Sakurai,3
Joan Cusack,Samuel L. Jackson,1
Mamoru Miyano,Tomokazu Sugita,4
Joan Cusack,Patrick Warburton,3
Yoko Hikasa,Yuki Kaji,1
Jun Fukuyama,Tomokazu Sugita,2
Tomokazu Sugita,Yoko Hikasa,2
Kana Hanazawa,Kenjiro Tsuda,1
