id,country,genres_list,Community,Degree_norm,PageRank_norm,Closeness_norm,Betweenness_norm
Anime Series,,"Fred Tatasciore, Richard Armitage, Stephanie Sheh, Yuki Kaji",3,0.06521739130434782,0.07086402994376803,0.12966757741347915,0.01444413308107814
Stephen Fry,"Italy, Spain, United Kingdom, United States","Action & Adventure, British TV Shows, Children & Family Movies, Comedies, Documentaries, Dramas, International Movies, Kids' TV, Movies, Sci-Fi & Fantasy, Spanish-Language TV Shows",3,0.21739130434782608,0.24553604547327237,0.40983016695451935,0.16291830229450086
Laura Linney,"Australia, Spain, United Kingdom, United States","Action & Adventure, Children & Family Movies, Classic Movies, Comedies, Crime TV Shows, Documentaries, Dramas, Independent Movies, LGBTQ Movies, TV Dramas, TV Thrillers, Thrillers",1,0.2391304347826087,0.22192307252466859,0.4238656195462478,0.07821209416834608
Ben Whishaw,"Australia, France, Japan, United Kingdom, United States","Action & Adventure, British TV Shows, Children & Family Movies, Comedies, Crime TV Shows, Cult Movies, Dramas, Independent Movies, International Movies, International TV Shows, Music & Musicals, Romantic Movies, Thrillers",3,0.2608695652173913,0.24060769906831267,0.43819811875367426,0.11692693544773904
Docuseries,,"Bob Balaban, Hugh Bonneville, James Cromwell, John Cleese, Keith David, Laurence Fishburne, Michael Palin, Morgan Freeman, Samuel L. Jackson",4,0.17391304347826086,0.16886204468295765,0.2040692007797271,0.04686343703683654
Sports Movies,,"Alison Pill, Ben Kingsley, Gary Cole, Jay Baruchel, Joe Pantoliano, John Leguizamo, Morgan Freeman, Nicholas Hoult, Ron Perlman, Samuel L. Jackson, Sylvester Stallone",3,0.21739130434782608,0.21005751847896148,0.24532828282828295,0.031945124694377436
TV Mysteries,,"Alfonso Herrera, Alison Pill, Emma Roberts, James Cromwell, Jason Isaacs, Joe Pantoliano, John Leguizamo, Kiernan Shipka, Laurence Fishburne",1,0.17391304347826086,0.1689072218658598,0.2347347347347348,0.023482084346308253
Independent Movies,,"Alfonso Herrera, Alison Pill, Anupam Kher, Ben Whishaw, Chris O'Dowd, Edgar Ramírez, Emma Roberts, Fred Tatasciore, Gary Cole, Guy Pearce, Helen Mirren, Helena Bonham Carter, J.K. Simmons, James Cromwell, Jason Isaacs, Jason Schwartzman, Jay Baruchel, Jim Broadbent, Joe Pantoliano, John Leguizamo, Johnny Depp, Keegan-Michael Key, Keith David, Kiernan Shipka, Laura Linney, Mae Whitman, Martin Sheen, Michael Palin, Mike Vogel, Morgan Freeman, Nicholas Hoult, Radhika Apte, Richard Armitage, Ron Perlman, Sam Neill, Samuel L. Jackson, Steven Yeun, Susan Sarandon, Terry Crews",2,0.8260869565217391,0.8156059995929501,0.7713815789473685,0.5622038767804484
Ron Perlman,"Canada, France, United States","Action & Adventure, Children & Family Movies, Comedies, Crime TV Shows, Cult Movies, Dramas, Horror Movies, Independent Movies, International Movies, Kids' TV, Sci-Fi & Fantasy, Sports Movies, TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy, Thrillers",2,0.32608695652173914,0.3017543892776557,0.4830752884031572,0.17914433218020248
Movies,,"Stephanie Sheh, Stephen Fry",3,0.021739130434782608,0.02206846740790048,0.03472222222222231,0.0006395363756916195
