id,Degree,Closeness,PageRank,Betweenness,Degree_norm,Closeness_norm,PageRank_norm,Betweenness_norm,Community,country,genres_list
Movies,2,0.3283582089552239,0.003257890038047745,5.639130977375609e-05,0.021739130434782608,0.03472222222222231,0.02206846740790048,0.0006395363756916195,3,,"Stephanie Sheh, Stephen Fry"
International Movies,30,0.5238095238095238,0.02225435226213616,0.040116792740423936,0.6304347826086957,0.6092923280423281,0.6310143911756663,0.45496634741267694,3,,"Alfonso Herrera, Alison Pill, Antonio Banderas, Anupam Kher, Ben Kingsley, Ben Whishaw, Bob Balaban, Edgar Ramírez, Gary Cole, Guy Pearce, Helen Mirren, Helena Bonham Carter, Hugh Bonneville, J.K. Simmons, James Cromwell, Jason Isaacs, Jay Baruchel, Jim Broadbent, Keith David, Nicholas Hoult, Penélope Cruz, Radhika Apte, Richard Armitage, Ron Perlman, Sam Neill, Stephanie Sheh, Stephen Fry, Steven Yeun, Susan Sarandon, Yuki Kaji"
TV Shows,1,0.31654676258992803,0.0025694499137361693,0.0,0.0,0.0,0.0,0.0,3,,Yuki Kaji
Terry Crews,8,0.44221105527638194,0.007415210313796528,0.02468621864145918,0.15217391304347827,0.3694165270798438,0.15533450430734683,0.27996751383911184,4,"Brazil, Canada, Japan, South Korea, United Kingdom, United States","Action & Adventure, Children & Family Movies, Comedies, Dramas, Horror Movies, Independent Movies, Reality TV, Thrillers"
Alison Pill,12,0.4607329842931937,0.009682279384066305,0.00790624773530082,0.2391304347826087,0.4238656195462478,0.22800711318344538,0.08966511049735405,3,"Canada, France, Japan, South Korea, United Kingdom, United States","Action & Adventure, Comedies, Cult Movies, Dramas, Independent Movies, International Movies, LGBTQ Movies, Sports Movies, TV Horror, TV Mysteries, TV Thrillers, Thrillers"
Susan Sarandon,13,0.4656084656084656,0.010323172851353828,0.013257557349879653,0.2608695652173913,0.43819811875367426,0.248551436640644,0.1503545530700143,2,"Canada, France, South Korea, United Kingdom, United States","Action & Adventure, Children & Family Movies, Comedies, Documentaries, Dramas, Independent Movies, International Movies, Kids' TV, LGBTQ Movies, Sci-Fi & Fantasy, TV Comedies, TV Sci-Fi & Fantasy, Teen TV Shows"
Radhika Apte,12,0.4607329842931937,0.009509439361223034,0.00813059233705955,0.2391304347826087,0.4238656195462478,0.22246659589486967,0.09220941269729215,1,"Japan, United Kingdom, United States","Action & Adventure, Comedies, Crime TV Shows, Dramas, Faith & Spirituality, Independent Movies, International Movies, International TV Shows, Romantic Movies, TV Dramas, TV Horror, Thrillers"
Bob Balaban,12,0.4607329842931937,0.00965574692458673,0.014554981457088776,0.2391304347826087,0.4238656195462478,0.22715659518398687,0.16506869811449798,1,"Canada, Italy, United Kingdom, United States","Comedies, Crime TV Shows, Docuseries, Dramas, Horror Movies, International Movies, Romantic Movies, Sci-Fi & Fantasy, TV Comedies, TV Dramas, Teen TV Shows, Thrillers"
Romantic TV Shows,7,0.38596491228070173,0.006822877283581889,0.002400378033301014,0.13043478260869565,0.2040692007797271,0.13634682228491052,0.027222795034662253,3,,"Alfonso Herrera, Guy Pearce, Keegan-Michael Key, Mike Vogel, Richard Armitage, Stephanie Sheh, Yuki Kaji"
John Cleese,12,0.4607329842931937,0.00983451246949134,0.004605342964192922,0.2391304347826087,0.4238656195462478,0.23288705955128092,0.05222940130231813,3,"Australia, Canada, Japan, South Korea, Spain, United Kingdom, United States","Action & Adventure, British TV Shows, Children & Family Movies, Classic & Cult TV, Classic Movies, Comedies, Cult Movies, Documentaries, Docuseries, International TV Shows, Sci-Fi & Fantasy, TV Comedies"
