Actor,Degree,Appearances
Haluk Bilginer,82,8
Paul Dobson,82,12
Stephen Tobolowsky,82,9
Javed Sheikh,82,12
Yukari Tamura,81,10
Mark Ruffalo,81,7
Hugh Jackman,81,6
Colin O'Donoghue,81,5
Cam Gigandet,81,9
Joke Silva,81,10
Sam Vincent,81,16
Margaret Cho,81,6
Ali Nuhu,81,10
Jennifer Ehle,81,9
Hiroaki Hirata,81,8
Haruka Tomatsu,81,9
J.B. Smoove,81,5
Carmen Machi,81,9
Daniel Kaluuya,81,3
Kikuko Inoue,80,9
Junko Takeuchi,80,12
Hisao Egawa,80,4
Jide Kosoko,80,10
Sylvester Stallone,80,11
Joel McHale,80,9
Manisha Koirala,80,11
Taylor Kitsch,80,5
Leonardo DiCaprio,80,9
Philip Baker Hall,80,8
Hugh Bonneville,80,9
Tom Hiddleston,80,5
Emily Mortimer,80,7
Rashida Jones,80,9
Brittany Snow,80,8
Andrew Bachelor,80,9
Sharon Stone,80,8
Hayley Atwell,80,4
Grey DeLisle,80,10
Johnny Lever,80,10
Segun Arinze,79,10
Pankaj Tripathi,79,15
Jack Black,79,12
Vidya Balan,79,12
Lochlyn Munro,79,7
Michelle Yeoh,79,9
Lucy Liu,79,11
Jennifer Aniston,79,8
Marc Maron,79,9
Matthew Goode,79,7
Brandon Routh,79,5
Amy Sedaris,79,8
Callan Mulvey,79,5
Jeff Garlin,79,8
Pedro Casablanc,79,9
Peter Mullan,79,7
Juhi Chawla,79,12
Sissy Spacek,79,5
Sahajak Boonthanakit,78,8
Showtaro Morikubo,78,7
Eric Lange,78,5
Nao Toyama,78,6
Erica Lindbeck,78,9
Tom Hanks,78,8
Bill Hader,78,9
Aunjanue Ellis,78,5
Fred Willard,78,7
Nicole Oliver,78,11
Jamie Bell,78,7
Mindy Sterling,78,8
Judi Dench,78,9
Josh Charles,78,7
Robert Downey Jr.,78,7
Victor Garber,78,7
Vincent D'Onofrio,78,8
Urzila Carlson,78,3
Chinatsu Akasaki,78,7
Dalip Tahil,78,11
Rich Sommer,78,4
Alok Nath,78,11
Ashley Jensen,78,5
Atul Kulkarni,78,10
AnnaSophia Robb,78,4
Annabeth Gish,77,7
Erin Fitzgerald,77,19
Terence Stamp,77,9
RZA,77,6
Walton Goggins,77,9
Colm Feore,77,9
Michael Kenneth Williams,77,7
Lisa Kudrow,77,8
Sheeba Chaddha,77,9
Frank Langella,77,9
Jared Harris,77,6
Juan Pablo Raba,77,6
Taissa Farmiga,77,6
Abhay Deol,77,11
Raúl Méndez,77,5
Bridget Everett,77,5
Ben Whishaw,76,8
Carmen Electra,76,5
Tusshar Kapoor,76,11
Tom Wilkinson,76,7
Alicia Vikander,76,7
Jeff Bridges,76,8
Taylor Lautner,76,10
James Norton,76,4
David Cross,76,13
Hisako Kanemoto,76,7
Kyle Bornheimer,76,5
Marina Inoue,76,6
Ryota Osaka,76,7
Harold Perrineau,76,6
Rahul Bose,76,10
Hidekatsu Shibata,76,5
Jake Gyllenhaal,76,9
Teresa Palmer,76,7
Nolan North,76,10
Satish Shah,76,11
Donnie Yen,76,10
Kate Higgins,76,17
Arcelia Ramírez,76,7
Madeline Brewer,76,3
Mick Wingert,76,5
Christopher Plummer,76,9
Paul Reubens,75,7
Kurt Russell,75,10
Martin Sheen,75,8
Reina Ueda,75,10
Simon Pegg,75,8
Wes Bentley,75,5
Tom Sizemore,75,7
Tig Notaro,75,5
Daryl Sabara,75,7
Keanu Reeves,75,11
Polly Walker,75,4
Oscar Nuñez,75,4
Alex Dimitriades,75,4
Hrithik Roshan,75,10
Daveed Diggs,74,6
Sarah Jessica Parker,74,8
Sarah Gadon,74,8
Hugo Silva,74,7
Toby Huss,74,8
Kazuhiro Yamaji,74,9
Cezmi Baskın,74,10
Sam Worthington,74,9
Paulina García,74,5
Kathryn Bernardo,74,11
Hideyuki Tanaka,74,5
Brijendra Kala,74,10
B.J. Novak,74,5
Bob Odenkirk,73,8
Camryn Manheim,73,4
Crispin Glover,73,8
Neha Dhupia,73,10
Yoko Soumi,73,3
Ed Begley Jr.,73,4
Christian Bale,73,7
Taye Diggs,73,6
Willa Fitzgerald,73,4
Wendy Crewson,73,6
Vivica A. Fox,73,9
Selma Blair,73,8
Kevin Costner,73,9
Álvaro Cervantes,73,7
Kat Graham,73,8
Raj Babbar,73,10
Kristen Schaal,73,8
Eugenio Derbez,73,6
Anjelica Huston,73,6
Jonathan Pryce,73,7
Ginnifer Goodwin,73,4
Lynn Collins,73,4
James McAvoy,73,4
Courteney Cox,73,5
Kunal Kapoor,72,9
Daiki Yamashita,72,5
Josh Lucas,72,8
Kenan Thompson,72,6
Cedric the Entertainer,72,11
Jeremy Renner,72,5
Gillian Jacobs,72,9
Tommy Lee Jones,72,8
Marcia Gay Harden,72,7
Dakota Fanning,72,9
Bill Murray,72,9
Taraji P. Henson,72,7
